iterations,error_feas_max,error_feas_mean,error_opt_max,error_opt_mean,error_total_max,error_total_mean
164,0.0009568149010271597,0.0005376497694345128,0.0065538014266882895,0.0019995370518678494,0.00372447747411996,0.0012685934106511812
165,0.0009756442901317657,0.0006152266072683583,0.004385695232062557,0.0019387807774613383,0.002642751571015335,0.0012770036923648483
166,0.0009864731933473278,0.0005164593161070655,0.006099965613367108,0.00253314692124064,0.0035047069435237346,0.001524803118673853
167,0.0010631948536526808,0.0009537104856187044,0.0063765018491965825,0.003131326414782454,0.0036459333881605164,0.002042518450200579
168,0.0011380417850493179,0.0006249177009250569,0.0030238965873209426,0.0012602516661762207,0.00208096918618513,0.0009425846835506388
169,0.0012146622644713027,0.0007085174928624846,0.00784251886616872,0.0031462775495767923,0.0042446850888344136,0.001927397521219639
170,0.001283824917284527,0.0006735813191297318,0.006480744223472441,0.0013120308230910763,0.0035797373595922045,0.0009928060711104037
171,0.0013453329044503992,0.0010539688733789802,0.003784029341954848,0.0013397630486620834,0.0024288332113166188,0.001196865961020532
172,0.0013949552287085666,0.0008042727447013006,0.0030872240263717845,0.0009527116797503201,0.002241089623718966,0.0008784922122258103
173,0.001424208088717714,0.0009592888157492563,0.007610103425725935,0.0027738161451454127,0.004401204225744876,0.0018665524804473345
174,0.0014449141315972475,0.0010128170395314272,0.008018362467334023,0.002555545974235622,0.004627797581299876,0.0017841815068835247
175,0.0014627935139154818,0.0010398651926536088,0.0045818036198269985,0.0014261808279949569,0.0029286815913612645,0.0012330230103242829
176,0.001496463354514617,0.0007857094950268921,0.007067574351097942,0.0026045708350936987,0.0039001548358196603,0.0016951401650602954
177,0.0015349468271433427,0.0009406121005154941,0.0064065229267897894,0.0012154170755242675,0.003615072317963601,0.0010780145880198808
178,0.0015715664047207696,0.0013469333296307374,0.007653543508742504,0.0020324278040489705,0.004280469505589557,0.001689680566839854
179,0.001592887741035201,0.0010221863121094791,0.004735824845061954,0.0013139362337173334,0.0030826826043852756,0.0011680612729134063
180,0.0016133719519082965,0.001051960482079021,0.004271060361377598,0.0018635102549593892,0.002505896917399052,0.001457735368519205
181,0.0016323293943069498,0.0010797070499110497,0.007803107229049606,0.0016251103006840323,0.0046665837558658805,0.001352408675297541
182,0.0016465441736427744,0.0009349126447627433,0.008466077141949573,0.002722450005537101,0.0050212214560902925,0.0018286813251499224
183,0.0016245278858700422,0.001159584783107997,0.0031423571493771913,0.000856681675794236,0.0023834389249232407,0.0010081332294511163
184,0.001669009718082853,0.0012534686392897663,0.0073840956682365,0.00215448948600149,0.004526552693159677,0.0017039790626456283
185,0.0016807104392976228,0.0010570995014849856,0.008898359259910008,0.00287688170139724,0.004934562039783604,0.0019669906014411127
186,0.0009494290137458348,0.0005003754561691492,0.00691616176184624,0.0025738861820972857,0.003707404707219437,0.0015371308191332175
187,0.0009334357933080382,0.0006942798253182098,0.006126795604233896,0.0012243627124001268,0.0034219031336466315,0.0009593212688591682
188,0.0009192231364171043,0.0005341158635935996,0.007795533466958526,0.0025417760314531018,0.004145132027394795,0.0015379459475233506
189,0.0009078305075110761,0.0006922141611105184,0.006059140046119645,0.0017612088181004689,0.0034834852768153603,0.0012267114896054936
190,0.0009099158489110763,0.0005738879353899089,0.00666210146340827,0.0016901240314223902,0.0035832009085704315,0.0011320059834061496
191,0.000926311529276228,0.0006417117832737585,0.006513718370183228,0.0015527423269686349,0.0036990553837849185,0.0010972270551211968
192,0.0008762609774344584,0.0007107455635995529,0.0038080923681885186,0.0006008338698241758,0.0019397416800155973,0.0006557897167118643
193,0.0009343809368362657,0.0005942495309395523,0.005680608547598768,0.0018138115881966854,0.003149231676380382,0.0012040305595681189
194,0.0009452318771810265,0.0005505025242595701,0.004088266341953757,0.0018354261309429087,0.0022994709526618375,0.0011929643276012395
195,0.0009440074870952085,0.0008118431495999726,0.00541676081367671,0.002307943835758037,0.003082478958297229,0.001559893492679005
196,0.0009352644188471369,0.0005152949404956008,0.006655594642783494,0.0017621893414808778,0.003645505873759369,0.0011387421409882394
197,0.0009281514326723353,0.0006280779213257017,0.007738156239518869,0.0017660640185390632,0.004145010111973891,0.0011970709699323824
198,0.0010265476378254746,0.0008618657318336422,0.007864393932146715,0.003018872406364138,0.004404824600419686,0.00194036906909889
199,0.0011133833555993593,0.0008391241248694306,0.007206496715411379,0.001822488320727178,0.0039062657906962835,0.001330806222798304
200,0.0011956955220357786,0.0007921664869204542,0.0076450352062763976,0.0017123006352630734,0.004333524852478629,0.001252233561091764
201,0.0012712219112852848,0.0008015756900302007,0.007009933361669217,0.0018912329916611556,0.004035106568822219,0.0013464043408456781
202,0.001339307592628354,0.0008758471805397258,0.004116755756627101,0.0011064717094537778,0.002203421974785761,0.000991159444996752
203,0.0011231658222968493,0.0007830092937391854,0.007447229199331181,0.00272348187503377,0.004182217981357789,0.0017532455843864776
204,0.001436567819033971,0.0010527200200585003,0.004349081531317317,0.0012617450928866976,0.0023463321695760065,0.001157232556472599
205,0.00146306672241296,0.0008431617181469111,0.004877981861924015,0.001538086512494182,0.002803795414240723,0.0011906241153205465
206,0.0014819342485480514,0.0010341140735772244,0.006525679048760199,0.0019380279487989653,0.0036318723883167242,0.0014860710111880948
207,0.0009349713350676877,0.0006580746211273046,0.004590252351959175,0.0007561937005232768,0.0024918021222126528,0.0007071341608252907
208,0.0015246657630319776,0.0009934306522731097,0.00771177685500136,0.001672333258238206,0.004321645621173831,0.001332881955255658
209,0.0015281929176056822,0.001204588128465439,0.004736887769716225,0.0017192565517870964,0.0030548140676192126,0.0014619223401262677
210,0.001546272543180845,0.001043294465998624,0.008322232017055413,0.002944824712913955,0.004529299819038094,0.001994059589456289
211,0.0015712134831735317,0.0012490557381013502,0.008794366134280647,0.002901126603392701,0.005131978898941586,0.0020750911707470257
212,0.0015928706764992769,0.0010382465739958249,0.005458695510557693,0.00261673418443565,0.0033295368492978006,0.0018274903792157373
213,0.00160706965976499,0.0011179255136796818,0.006987923689763346,0.0028345088651079353,0.003874659655398698,0.001976217189393809
214,0.0016189900233389172,0.0010733342936081096,0.005268934774423916,0.0010282748047572906,0.0030193698837121426,0.0010508045491827004
215,0.0016614824475421914,0.0011283034828969527,0.005017120034717271,0.002106168263703168,0.0033393010073166462,0.0016172358733000606
216,0.0016979729509339608,0.0012698142271873735,0.008448569087764536,0.0020836280719763603,0.0046086127757862735,0.0016767211495818672
217,0.0009455556769921809,0.00040647284819505256,0.005051393991799939,0.0018490641556653462,0.0029984745526654773,0.0011277685019301994
218,0.0006957614540769048,0.0003642578820133038,0.007851298547942137,0.0021059070621712575,0.004173890292626597,0.0012350824720922808
219,0.0009210383348862909,0.0006389023879625516,0.004114475788994579,0.0016045967320406987,0.002397872933056981,0.0011217495600016254
220,0.0009110900155517279,0.0006090848567057668,0.007050313702246226,0.002339371446861182,0.003774945932446193,0.0014742281517834744
221,0.0009003969866482009,0.0006166710278645511,0.006535030716841493,0.0018484836422748493,0.003593285297418458,0.0012325773350697002
222,0.000885691099674259,0.0005824014687579449,0.006849328910198718,0.001692907747746109,0.0036774049786640105,0.0011376546082520267
223,0.000902282643337908,0.0005314143202787264,0.007630425701920176,0.0017662327699471182,0.004066671228111841,0.0011488235451129222
